t,x,y,theta,v,w
26.465,0.0816,0.0531,0.6180,0.2185,0.0000
26.565,0.1019,0.0675,0.6180,0.2492,0.0000
26.665,0.1249,0.0838,0.6159,0.2816,-0.0213
26.765,0.1500,0.1015,0.6138,0.3055,-0.0212
26.863,0.1766,0.1202,0.6116,0.3280,-0.0215
26.965,0.2034,0.1391,0.6116,0.3259,0.0000
27.065,0.2308,0.1582,0.6116,0.3335,0.0000
27.165,0.2579,0.1772,0.6095,0.3308,-0.0213
27.265,0.2846,0.1958,0.6074,0.3270,-0.0214
27.365,0.3110,0.2142,0.6074,0.3197,0.0000
27.465,0.3372,0.2323,0.6052,0.3209,-0.0214
27.565,0.3632,0.2503,0.6052,0.3153,0.0000
27.675,0.3884,0.2677,0.6031,0.2777,-0.0193
27.765,0.4137,0.2851,0.6010,0.3408,-0.0237
27.865,0.4380,0.3017,0.5989,0.2966,-0.0215
27.965,0.4624,0.3183,0.5967,0.2940,-0.0213
28.064,0.4857,0.3342,0.5946,0.2836,-0.0214
28.165,0.5089,0.3498,0.5946,0.2776,0.0000
28.264,0.5318,0.3653,0.5925,0.2782,-0.0215
28.365,0.5542,0.3803,0.5903,0.2689,-0.0212
28.465,0.5762,0.3950,0.5882,0.2647,-0.0214
28.576,0.5974,0.4092,0.5882,0.2300,0.0000
28.666,0.6182,0.4229,0.5839,0.2781,-0.0476
28.765,0.6384,0.4363,0.5839,0.2431,0.0000
28.863,0.6582,0.4494,0.5839,0.2392,0.0000
28.965,0.6777,0.4623,0.5818,0.2331,-0.0212
29.065,0.6970,0.4749,0.5818,0.2296,0.0000
29.165,0.7155,0.4871,0.5797,0.2225,-0.0214
29.265,0.7341,0.4992,0.5775,0.2213,-0.0213
29.365,0.7524,0.5112,0.5775,0.2194,0.0000
29.464,0.7700,0.5226,0.5754,0.2101,-0.0214
29.565,0.7871,0.5336,0.5733,0.2024,-0.0212
29.665,0.8037,0.5443,0.5711,0.1980,-0.0214
29.764,0.8180,0.5535,0.5626,0.1700,-0.0852
29.865,0.8286,0.5600,0.5477,0.1239,-0.1485
29.965,0.8356,0.5642,0.5243,0.0822,-0.2351
30.065,0.8407,0.5670,0.4923,0.0574,-0.3178
30.165,0.8447,0.5691,0.4603,0.0457,-0.3209
30.265,0.8491,0.5712,0.4262,0.0486,-0.3410
30.362,0.8533,0.5730,0.3943,0.0461,-0.3237
30.464,0.8578,0.5748,0.3602,0.0482,-0.3381
30.564,0.8624,0.5764,0.3261,0.0486,-0.3407
30.664,0.8673,0.5780,0.2898,0.0518,-0.3634
30.765,0.8720,0.5793,0.2557,0.0485,-0.3405
30.865,0.8764,0.5804,0.2195,0.0454,-0.3609
30.963,0.8812,0.5814,0.1854,0.0487,-0.3420
31.063,0.8857,0.5821,0.1534,0.0456,-0.3197
31.165,0.8899,0.5827,0.1236,0.0422,-0.2960
31.264,0.8941,0.5832,0.0938,0.0429,-0.3008
31.365,0.8980,0.5835,0.0661,0.0393,-0.2761
31.465,0.9023,0.5837,0.0405,0.0425,-0.2557
31.564,0.9065,0.5838,0.0149,0.0427,-0.2568
31.665,0.9120,0.5838,-0.0107,0.0543,-0.2542
31.764,0.9187,0.5837,-0.0405,0.0671,-0.2996
31.876,0.9269,0.5832,-0.0682,0.0740,-0.2499
31.965,0.9357,0.5825,-0.0959,0.0983,-0.3094
32.076,0.9453,0.5814,-0.1257,0.0877,-0.2691
32.165,0.9558,0.5799,-0.1577,0.1190,-0.3580
32.265,0.9675,0.5779,-0.1854,0.1190,-0.2785
32.364,0.9797,0.5755,-0.2089,0.1243,-0.2340
32.465,0.9925,0.5726,-0.2323,0.1307,-0.2347
32.564,1.0054,0.5694,-0.2579,0.1336,-0.2557
32.664,1.0180,0.5659,-0.2813,0.1313,-0.2357
32.765,1.0299,0.5623,-0.3005,0.1237,-0.1906
32.865,1.0357,0.5606,-0.2877,0.0609,0.1282
32.966,1.0384,0.5598,-0.2728,0.0272,0.1483
33.065,1.0390,0.5597,-0.2557,0.0061,0.1714
33.165,1.0387,0.5597,-0.2366,-0.0031,0.1928
33.265,1.0384,0.5598,-0.2174,-0.0030,0.1903
33.365,1.0387,0.5597,-0.1939,0.0030,0.2336
33.465,1.0393,0.5596,-0.1641,0.0061,0.2998
33.565,1.0405,0.5594,-0.1257,0.0122,0.3852
33.665,1.0420,0.5593,-0.0810,0.0151,0.4444
33.765,1.0435,0.5592,-0.0362,0.0152,0.4482
33.866,1.0450,0.5592,0.0170,0.0151,0.5313
33.965,1.0462,0.5592,0.0682,0.0123,0.5158
34.065,1.0474,0.5594,0.1236,0.0121,0.5500
34.164,1.0483,0.5595,0.1811,0.0092,0.5822
34.265,1.0495,0.5597,0.2323,0.0121,0.5083
34.366,1.0504,0.5600,0.2856,0.0091,0.5328
34.465,1.0518,0.5604,0.3346,0.0151,0.4890
34.565,1.0570,0.5623,0.3644,0.0546,0.2978
34.666,1.0629,0.5646,0.3836,0.0637,0.1916
34.765,1.0677,0.5666,0.4113,0.0520,0.2788
34.866,1.0704,0.5679,0.4411,0.0302,0.2967
34.964,1.0721,0.5687,0.4752,0.0184,0.3438
35.065,1.0731,0.5693,0.5136,0.0121,0.3809
35.165,1.0739,0.5697,0.5584,0.0092,0.4502
35.265,1.0749,0.5704,0.6095,0.0121,0.5097
35.365,1.0759,0.5711,0.6649,0.0122,0.5543
35.465,1.0764,0.5715,0.7246,0.0061,0.5979
35.565,1.0775,0.5726,0.7864,0.0152,0.6170
35.664,1.0781,0.5732,0.8439,0.0091,0.5756
35.765,1.0789,0.5742,0.9036,0.0121,0.5959
35.866,1.0793,0.5746,0.9675,0.0061,0.6378
35.965,1.0796,0.5752,1.0357,0.0061,0.6828
36.085,1.0800,0.5760,1.1061,0.0076,0.5865
36.164,1.0804,0.5768,1.1764,0.0114,0.8807
36.264,1.0807,0.5776,1.2467,0.0092,0.7066
36.376,1.0808,0.5779,1.3170,0.0027,0.6334
36.464,1.0810,0.5788,1.3874,0.0102,0.7846
36.565,1.0810,0.5788,1.4598,0.0000,0.7242
36.665,1.0810,0.5785,1.5344,-0.0030,0.7478
36.765,1.0810,0.5785,1.6069,0.0000,0.7263
36.865,1.0810,0.5785,1.6751,0.0000,0.6851
36.963,1.0810,0.5782,1.7411,-0.0030,0.6622
37.066,1.0811,0.5776,1.8008,-0.0060,0.5877
37.176,1.0813,0.5770,1.8477,-0.0055,0.4262
37.265,1.0814,0.5767,1.8797,-0.0034,0.3560
37.365,1.0817,0.5759,1.8946,-0.0091,0.1496
37.465,1.0817,0.5759,1.8946,0.0000,0.0000
37.565,1.0817,0.5759,1.8946,0.0000,0.0000
